job_position_name,career_objective,skills,matched_score,degree_names,major_field_of_studies,experiencere_requirement
Executive - Vat,i am data science enthusiast focused on solving complex problems using machine learning techniques. i try to simplify problems and attack them head on. always working and striving to be better solution finder.,Not provided,0.623333333,['b.tech'],['ece'],1 to 3 years
Data Engineer,Not provided,Not provided,0.716666667,['bachelor of science'],['biological sciences'],5 to 8 years
Ai Engineer,Not provided,Not provided,0.65,"['m.b.a', 'b.a']","['business administrator', 'accounting']",Not specified
Executive/ Sr. Executive -It,"machine learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. as someone who is always learning, i would love to use my knowledge to provide the best solutions.",Not provided,0.716666667,"['b.tech', 'msc']","['electronics/telecommunication', 'data science']",3 to 5 years
Head Of Internal Control & Compliance (Icc) - Sevp/Dmd,"to design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. vision to create personalized experiences based on machine learning.",Not provided,0.55,"['m.tech', 'b.e', 'course']","['control systems', 'electrical engineering', 'machine learning']",at least 15 years
"Full Stack Developer (Python,React Js)","a software designer internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.",Not provided,0.85,['honours bachelor of science'],['computer science'],3 to 7 years
Data Engineer,Not provided,Not provided,0.783333333,"['high school diploma', 'bachelor of science, be bachelor of engineering (honours) (aerospace)']","['mathematics, physics, chemistry, engineering', 'aerospace']",5 to 8 years
Data Engineer,Not provided,Not provided,0.7166666666666667,['high school diploma'],['n/a'],5 to 8 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.5333333333333333,['bachelor business administration'],['accounting'],at least 5 year(s)
Data Science Engineer,i am fresher data analyst starting out in erp and mis. as a fresher i am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,Not provided,0.65,"['b.a (economics)', 'm.a (economics), correspondence/distance learning']","['economics', 'economics']",at least 2 years
Senior Software Engineer,Not provided,Not provided,0.483333333,"['aas', 'ba', 'diploma']","['electronic technology', 'business management', 'computer programming']",at least 1 year
Senior Ios Engineer,"committed and motivated professional with exceptional customer service and decision making skills. extensive experience working with a diverse client base and delivering results. high-achieving professional possessing excellent communication, organizational and analytical capabilities. background in business development, customer service and project management.",Not provided,0.85,"[""['high school diploma', none]""]","[""[none, 'general studies']""]",at least 4 years
Devops Engineer,"dedicated computer science student with a strong command of python and proficiency in visual studio code, seeking a role as an entry-level software developer at amazon. eager to bring my ability to develop, test, and maintain software to a dynamic team that values innovation.",Not provided,0.716666667,['b.s.'],['computer science'],at least 3 years
Business Development Executive,i would like to introduce myself as an applicant for the data scientist role. i have gathered an well informed amount of experience from my coursework and i feel that i can perform and produce results in an work environment if given the opportunity.,Not provided,0.48,"['b.sc (computer science engineering)', 'm.sc (data science)']","['computer science engineering', 'data science']",1 to 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.85,['b.a'],['organizational communication business management'],at least 3 years
Executive - Vat,i am currently looking for an opportunity as a data science or machine learning engineer.,Not provided,0.65,"['bba', 'mba']","['management', 'information technology']",1 to 3 years
Data Science Engineer,recently graduated fresher experienced in machine learning and natural language processing looking for roles that involve projects in the same.,Not provided,0.693333333,['b.tech'],['computers'],at least 2 years
Ai Engineer,i desire to work for a company that provides career advancement opportunities in a friendly environment. i would like to develop skills that make me proficient in my job and an asset to the company. i have a varied skill set and enjoy learning new techniques.,Not provided,0.76,['associate of arts'],['administrative assistance'],Not specified
Network Support Engineer,"i am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where i can apply my knowledge and skills for continuous improvement.",Not provided,0.736666667,['b.tech'],['ece'],at least 3 years
Project Coordinator (Civil),collaborative computer science graduate. eager to secure an internship using my experience with natural language processing and building web apps for non-technical users to further the mission of coursera in democratizing education across the world.,Not provided,0.65,['b.s.'],['computer science'],5 to 10 years
Executive - Vat,"i am looking for an opportunity to work as a data scientist. possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. under the guidance of company's professionals i can contribute to company's success using my extensive analytical skills.",Not provided,0.623333333,['b.sc'],['statistics'],1 to 3 years
Hr Officer,business analyst and a data engineer. i believe that data has the highest power when it comes to making informative decisions about business and therefore my objective is to always make sense from what a dataset is trying to convey.,Not provided,0.656666667,['b.tech'],['computers'],Not specified
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['bsc (it)'],['information technology'],3 to 7 years
Executive/ Sr. Executive -It,"graduate analyst currently working as business analyst consultant. as an individual, i always try to overcome problems in the most analytical manner. i want to work on machine learning application problems that deal with real life scenarios.",Not provided,0.826666667,['b.tech'],['mechanical'],3 to 5 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,['associate degree'],['electronics engineering technology'],at least 5 year(s)
Machine Learning (Ml) Engineer,"seeking roles in machine learning, natural language processing, deep learning. previously worked as a data processing intern. having good knowledge in using python libraries and different data processing tools.",Not provided,0.826666667,['b.tech'],['n/a'],at least 5 year(s)
Asst. Manager/ Manger (Administrative),"a curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. i ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",Not provided,0.75,"['bsc(ca)', 'msc(ca)']","['computer applications', 'computer applications']",at least 5 years
Asst. Manager/ Manger (Administrative),"to pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. i would like to take up a challenging job to nourish my qualification, expertise & experience within a reputed organization & further enhance my performance.",Not provided,0.85,"['mba', 'n/a']","['finance', 'n/a']",at least 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","creative and innovative draftsman, passionate about building designs and advanced construction solutions.â  â seeking the best opportunity to further enhance present professional experience and expand knowledge base on architectural designs, while growing with an organization.",Not provided,0.85,['a.a.s'],['drafting and design'],at least 3 years
Data Engineer,graduate looking for roles related to bu analyst and machine learning.,Not provided,0.65,['b.ca'],['computer applications'],5 to 8 years
Devops Engineer,Not provided,Not provided,0.6,"['b.tech', 'diploma']","['n/a', 'big data analytics']",at least 3 years
Data Science Engineer,"graduate analyst currently working as business analyst consultant. as an individual, i always try to overcome problems in the most analytical manner. i want to work on machine learning application problems that deal with real life scenarios.",Not provided,0.65,['b.tech'],['mechanical'],at least 2 years
Data Engineer,"machine learning engineer seeking roles in machine learning, natural language processing, artificial intelligence, data science.",Not provided,0.683333333,['integrated b.e. and m.sc hons.'],['hons. mechanical engineering'],5 to 8 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['b.tech'],['computer science'],3 to 7 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['b.tech'],['computers'],3 to 7 years
Project Coordinator (Civil),"committed and motivated professional with exceptional customer service and decision making skills. extensive experience working with a diverse client base and delivering results. high-achieving professional possessing excellent communication, organizational and analytical capabilities. background in business development, customer service and project management.",Not provided,0.85,"[""['high school diploma', none]""]","[""[none, 'general studies']""]",5 to 10 years
Network Support Engineer,"i'm passionate learner with a knack for artificial intelligence. the kind of problems ai can solve, fills me with enthusiasm to learn more and contribute more. i have dedicated more than a year developing and training machine learning models across several projects.",Not provided,0.85,"['b.tech', 'm.tech']","['n/a', 'n/a']",at least 3 years
"Full Stack Developer (Python,React Js)",currently seeking the next career challenge of continuing the path of accounting management in a small to medium-sized company that needs an involved professional with demonstrated leadership experience.,Not provided,0.793333333,"['master of science', 'm. eng', 'bachelor of science']","['accounting and finance', 'aerospace engineering', 'aerospace engineering']",3 to 7 years
Mechanical Engineer,"fresher with excellent communication, good analyzing, and problem-solving skills. proficient and well-armed at debugging and bug fixing. strong c, c++ coding background and well informed in oops concepts.",Not provided,0.65,['b.tech'],['electronics'],2 to 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","a challenging position in a manufacturing, engineering, or research & development environment where my overall technical background, along with my leadership and decision making capabilities will be combined to contribute to company goals, enlargement, & productivity.",Not provided,0.826666667,['diploma'],['[none]'],at least 3 years
Sr.Officer / Executive - Internal Audit,"enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. excellent management skills, encouraging career growth of subordinates through additional training and opportunities. keep up-to-date with industry changes through professional affiliation.",Not provided,0.8166666666666668,"['master of science', 'bachelor of science', 'bachelor of science']","['education with an option in online teaching and learning', 'accounting', 'business administration']",2 to 4 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",expertise eda modeler. i like to learn what my data contains and how well i can model it depending on the problem. i can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ml algorithm to get an outcome.,Not provided,0.716666667,"['b.ca', 'm.ca']","['[none, none]']",at least 3 years
Ai Engineer,"to obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.",Not provided,0.75,['computer applications specialist certificate program'],['computer applications'],Not specified
Machine Learning (Ml) Engineer,Not provided,Not provided,0.893333333,"['phd candidate, computer science', 'b.sc., double major in computer science and management']","['computer science', 'computer science and management']",at least 5 year(s)
Project Coordinator (Civil),Not provided,Not provided,0.65,"['phd candidate, computer science', 'b.sc., double major in computer science and management']","['computer science', 'computer science and management']",5 to 10 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,['bachelor of science'],['computer science'],at least 5 year(s)
Database Administrator (Dba),Not provided,Not provided,0.85,"['bachelor of science', 'associate']","['accounting and finance', 'accounting']",at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.816666667,['bachelor of science'],['electrical and computer engineering'],at least 3 years
Senior Ios Engineer,"machine learning engineer seeking assignments deep learning, reinforcement learning, tensorflow. keras.",Not provided,0.75,['b.tech(it)'],['information technology'],at least 4 years
Marketing Officer,Not provided,Not provided,0.576666667,"['master of business administration', 'bachelor of science', 'manufacturing engineering technology']","['project & program management', 'political science', 'manufacturing engineering technology']",at least 1 year
Marketing Officer,Not provided,Not provided,0.85,['bachelors of arts'],['sociology'],at least 1 year
Civil Engineer,interested in helping businesses take best decisions using machine learning and deep learning solutions.,Not provided,0.583333333,['b.tech'],['cse'],at least 5 years
Civil Engineer,"software developer focused in the areas of machine learning application development. motivated to learn, grow and excel my experience by challenging myself.",Not provided,0.483333333,['b.tech'],['ece'],at least 5 years
Business Development Executive,"i am a recent graduate who is interested and fascinated by machine learning. i want to join this industry and be a part of it, learn and contribute towards both the growth of the company and me as an individuals in terms of skills.",Not provided,0.466666667,"['b.sc', 'mca']","['computer science', 'computers']",1 to 3 years
Machine Learning (Ml) Engineer,expertise eda modeler. i like to learn what my data contains and how well i can model it depending on the problem. i can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ml algorithm to get an outcome.,Not provided,0.943333333,"['b.ca', 'm.ca']","['[none, none]']",at least 5 year(s)
Data Engineer,Not provided,Not provided,0.716666667,"['b.com', 'mba']","['commerce', 'n/a']",5 to 8 years
Executive - Vat,"seeking roles in machine learning, natural language processing, deep learning. previously worked as a data processing intern. having good knowledge in using python libraries and different data processing tools.",Not provided,0.65,['b.tech'],['n/a'],1 to 3 years
Data Engineer,as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.65,"['b.tech', 'm.tech']","['[none, none]']",5 to 8 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.65,['b.tech'],['instrumentation and control'],at least 3 years
Business Development Executive,"passionate data engineer with a zeal to excel forward and produce promising outcomes. hands-on knowledge in various machine learning algorithms. also experienced in data mining, warehouse maintaining, and visualization. in search of a role where i can nurture my skills and contribute to the growth of the company and myself.",Not provided,0.62,"['b.tech', ""master's diploma""]","['computers', 'analytics and artificial intelligence']",1 to 3 years
Executive/ Sr. Executive -It,i am looking for a job switch to transition into data science and utilize my currents skills & learnings from my master's course to solve new problems.,Not provided,0.65,"['b.tech', 'ms']","['electrical', 'artificial intelligence and machine learning']",3 to 5 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.8166666666666668,['associate of arts'],['advertising & public relations'],at least 5 year(s)
Senior Software Engineer,"i am a junior machine learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",Not provided,0.716666667,['b.tech'],['electrical'],at least 1 year
Data Engineer,Not provided,Not provided,0.683333333,['b.tech'],['ece'],5 to 8 years
Network Support Engineer,i am looking for another opportunity within usa in infrastructure consulting/ systems administration that gives me the opportunity to excel in my current skills and paves way for learning new technologies.,Not provided,0.873333333,['bachelor of engineering (b.e'],['[none]'],at least 3 years
Intern (Generative Ai Engineering - 2D/3D Image Generation),i am a software developer and analyst professional working for a year with client side technology and machine learning product delivery. i have handled small but scalable machine learning projects and want to expand my experience and expertise in the domain.,Not provided,0.85,['b.tech(it)'],['information technology'],Not specified
Ai Engineer,"to pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. i would like to take up a challenging job to nourish my qualification, expertise & experience within a reputed organization & further enhance my performance.",Not provided,0.5666666666666667,"['mba', 'n/a']","['finance', 'n/a']",Not specified
"Full Stack Developer (Python,React Js)",fresher computer vision and machine learning engineer looking for a job that is both challenging and fun in terms of problem-solving. also an expert in maintaining and managing tableau and power bi dashboards to address business.,Not provided,0.65,['b.tech'],['computer science'],3 to 7 years
Hr Officer,graduate database management engineer looking to join a role in data analytics or cloud-based machine learning solutions.,Not provided,0.483333333,['b.tech'],['computers'],Not specified
Executive - Vat,"passionate data engineer with a zeal to excel forward and produce promising outcomes. hands-on knowledge in various machine learning algorithms. also experienced in data mining, warehouse maintaining, and visualization. in search of a role where i can nurture my skills and contribute to the growth of the company and myself.",Not provided,0.65,"['b.tech', ""master's diploma""]","['computers', 'analytics and artificial intelligence']",1 to 3 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,[],[],at least 5 year(s)
"Full Stack Developer (Python,React Js)","a versatile and dynamic manager and marketing professional with more than (20) years of sales, management, marketing and promotional experience. a goal oriented and trusted leader, able to communicate effectively with people of all ages and backgrounds, to work collaboratively to resolve problems and to motivate team members to achieve personal and organizational objectives.",Not provided,0.6066666666666667,['bachelor of arts degree'],['communications'],3 to 7 years
Asst. Manager/ Manger (Administrative),"software developer focused in the areas of machine learning application development. motivated to learn, grow and excel my experience by challenging myself.",Not provided,0.65,['b.tech'],['ece'],at least 5 years
Ai Engineer,currently seeking opportunities as an analyst as well as machine learning engineer.,Not provided,0.883333333,['b.tech'],['n/a'],Not specified
Sr.Officer / Executive - Internal Audit,as a junior analyst i currently work with data preprocessing and data cleaning before sending them to machine learning models. i am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,Not provided,0.62,['b.tech'],['n/a'],2 to 4 years
Database Administrator (Dba),to obtain a challenging position in a professional and dynamic environment while utilizing my skills and experience to further my career in accounting.,Not provided,0.7616666666666667,"['master degree', 'n/a']","['accounting', 'computer programming in cobol language']",at least 1 year
Data Science Engineer,Not provided,Not provided,0.65,"['b.com', 'pg diploma']","['commerce', 'data science and business analytics']",at least 2 years
Senior Software Engineer,graduate looking for roles related to bu analyst and machine learning.,Not provided,0.783333333,['b.ca'],['computer applications'],at least 1 year
Business Development Executive,i am looking for another opportunity within usa in infrastructure consulting/ systems administration that gives me the opportunity to excel in my current skills and paves way for learning new technologies.,Not provided,0.55,['bachelor of engineering (b.e'],['[none]'],1 to 3 years
Mechanical Engineer,"energetic, innovative engineering undergraduate, passionate about machine learning, nlp and deep learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",Not provided,0.65,"['b.tech. (electrical engineering specialization in computer science)', 'xii', 'x']","['electrical engineering specialized in computer science', 'n/a', 'n/a']",2 to 5 years
Ai Engineer,Not provided,Not provided,0.85,['b.tech/b.e.'],['computers'],Not specified
Network Support Engineer,Not provided,Not provided,0.783333333,"['b.com', 'pg diploma']","['commerce', 'data science and business analytics']",at least 3 years
Database Administrator (Dba),Not provided,Not provided,0.85,['bachelor of science'],['n/a'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.65,['b.tech(computers)'],['computers'],at least 3 years
Database Administrator (Dba),Not provided,Not provided,0.85,['bachelor of business administration'],['accounting'],at least 1 year
Site Engineer,i am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,Not provided,0.583333333,['b.tech'],['mechanical'],1 to 2 years
Executive/ Sr. Executive -It,data engineer who is experienced with text analytics and natural language processing. i have also worked on big data analytics using hadoop,Not provided,0.65,['b.tech'],['n/a'],3 to 5 years
Network Support Engineer,as a junior analyst i currently work with data preprocessing and data cleaning before sending them to machine learning models. i am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,Not provided,0.683333333,['b.tech'],['n/a'],at least 3 years
Database Administrator (Dba),"highly motivated mechanical engineering student (eit) interested in pursuing an engaging position in the corporate setting to implement skills honed through years of engineering background. a dedicated student with problem-solving, leadership, and communication skills along with the capability to build relationships and work in a team-oriented environment.",Not provided,0.65,['bachelor of science'],['mechanical engineering'],at least 1 year
Network Support Engineer,fresher data engineer who is experienced in pipeline building and analytics. seeking to leverage my technical and analytical skills to drive growth of the organization.,Not provided,0.77,"['b.tech', 'pg diploma']","['electronics and communication', 'data science and engineering']",at least 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","associate solution advisor currently enrolled in pg for data science, knowledge in data manipulation, analysis, reporting and data visualization. in depth knowledge of tools used for production.",Not provided,0.716666667,['b.e. (computers)'],['computers'],at least 3 years
Project Coordinator (Civil),Not provided,Not provided,0.65,['b.e'],['it and ece'],5 to 10 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.716666667,['b.tech'],['civil'],3 to 7 years
Head Of Internal Control & Compliance (Icc) - Sevp/Dmd,"a highly experienced skilled graduate with analytics degree with a very good experience in sas, web scraping, sql, predictive modelling and data visualization. excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; ensures the organization uses it effectively to reach profit and growth objectives. comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. more than six years of experience working as a researcher, data analyst, and environmental science and technology instructor. experience in sql, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. customer segmentation, product positioning and mapping and conjoint analysis modelling: design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict diversified experience with engineering, manufacturing, retailing, higher education and it /data related companies fascinated by learning cutting edge technologies, such as; data mining and machine learning handled a team of 4 during my 3 years of tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.",Not provided,0.85,"['master of science', 'master of science', 'bachelor of science']","['analytics', 'environmental science and technology', 'resource management']",at least 15 years
Data Science Engineer,"i am a master of data science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. i can offer a strong programming skills and good academic results together with a sound knowledge of implementing machine learning techniques. also, i am keen to learn new skill sets that the role demands. i am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.",Not provided,0.65,"['b.tech(computers)', 'masters (data science)']","['computers', 'data science']",at least 2 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","candidate with a fifteen months experience in production supervising and manufacturing seeking opportunity in field of quality, supply chain and manufacturing",Not provided,0.85,"['master of science', 'bachelor of engineering']","['industrial engineering', 'chemical engineering']",at least 3 years
Mechanical Engineer,"experienced software professional looking for data science and machine learning roles. masters in machine learning. good knowledge of software development processes and object-oriented programming. sound knowledge of python, scikit learn and keras.",Not provided,0.65,"['b.tech', 'm.tech']","['instrumentation', 'machine learning']",2 to 5 years
Marketing Officer,Not provided,Not provided,0.583333,"['mechanical-industrial engineering', 'executive management', 'business development']","['mechanical-industrial engineering', 'accelerated management program', 'n/a']",at least 1 year
Data Science Engineer,data science explorer with a keen interest in application models of machine learning.,Not provided,0.803333333,['b.tech'],['electrical'],at least 2 years
Machine Learning (Ml) Engineer,"an avid data analyst looking to step into the world of machine learning and data sciences. i have experience related to data mining, data visualization, text analytics, data collection and would currently like to expand my horizon and work on machine learning projects.",Not provided,0.85,['bca'],['n/a'],at least 5 year(s)
Machine Learning (Ml) Engineer,Not provided,Not provided,0.693333333,"['certificate of completion', 'select one', 'neec building operator certification', 'high school diploma']","['aib - haccp online course - haccp/food safety', 'business management', 'basic electronics, drafting', 'n/a']",at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",degreed accountant with more than 10 years of diversified accounting experience seeking accounting position at a well-established company in houston,Not provided,0.85,"[""bachelor's degree""]",['accounting'],at least 3 years
Sr.Officer / Executive - Internal Audit,"fresher starting out with business analysis, and machine learning modelling based on data engineering.",Not provided,0.55,['bba'],['n/a'],2 to 4 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.65,['bachelor of sciences'],['interdisciplinary studies'],3 to 7 years
Database Administrator (Dba),"a python programmer, currently pursuing data science and looking for roles that involve the application of machine learning. i am always excited to take on real life problems and tread through different technology stacks.",Not provided,0.826666667,['b.tech'],['n/a'],at least 1 year
Network Support Engineer,i am data science enthusiast focused on solving complex problems using machine learning techniques. i try to simplify problems and attack them head on. always working and striving to be better solution finder.,Not provided,0.816666667,['b.tech'],['ece'],at least 3 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,['b.tech'],['computer science'],at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",big data analytics working and database warehouse manager with robust experience in handling all kinds of data. i have also used multiple cloud infrastructure services and am well acquainted with them. currently in search of role that offers more of development.,Not provided,0.783333333,['b.tech'],['electronics'],at least 3 years
Project Coordinator (Civil),Not provided,Not provided,0.65,['bachelors of arts'],['sociology'],5 to 10 years
Ai Engineer,Not provided,Not provided,0.65,['b.s. in computer science'],['computer science'],Not specified
"Full Stack Developer (Python,React Js)","a quality-oriented professional with a keen interest in solving complex business problems by way of ai-based design & thinking. a technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",Not provided,0.95,"['b.tech', 'msc']","['jkg college, nashik', 'computational economics']",3 to 7 years
Marketing Officer,seeking a technical position within an engineering team.,Not provided,0.446666667,['bachelor of science'],['engineering technology computer engineering'],at least 1 year
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['bachelor of science'],['electrical and computer engineering'],3 to 7 years
"System Administrator (Operation & Maintenance Of Server, Storage & Service Desk System)",Not provided,Not provided,0.816666667,"['aas', 'ba', 'diploma']","['electronic technology', 'business management', 'computer programming']",4 to 5 years
Ai Engineer,to obtain a rewarding position in a field where my skills can be further developed and utilized.,Not provided,0.85,"[""['b.s. degree', none]""]","[""['progress', none]""]",Not specified
Database Administrator (Dba),Not provided,Not provided,0.816666667,['b.e. (data engineering)'],['data engineering'],at least 1 year
Project Coordinator (Civil),"obtain a position in a professional organization where i can apply my skills and loyalty in exchange for career guidance, training and opportunity for advancement.",Not provided,0.7833333333333333,"['[""master\'s in business administration (international business)"", ""bachelor\'s in business administration finance"", \'diploma in business administration\', none]']","[""['international business', 'business administration finance', 'business administration', none]""]",5 to 10 years
Hr Officer,big data analytics working and database warehouse manager with robust experience in handling all kinds of data. i have also used multiple cloud infrastructure services and am well acquainted with them. currently in search of role that offers more of development.,Not provided,0.62,['b.tech'],['electronics'],Not specified
Data Engineer,graduate of computer science with experience working across the full-stack of software development. looking for a role where i can grow and learn from experienced team members while drawing on project experience i have already successfully executed.,Not provided,0.716666667,['b.s.'],['computer science'],5 to 8 years
Database Administrator (Dba),Not provided,Not provided,0.873333333,"['b.s', 'm.s', 'b.s.i.t']","['mechanical engineering', 'electrical engineering', 'software engineering']",at least 1 year
Network Support Engineer,i am a post graduate having knowledge of industry-level machine learning problems and research topics. i currently work as a machine learning engineer and i want to keep exploring such opportunities.,Not provided,0.683333333,"['b.sc', 'm.sc']","['computer science engineering', 'big data analytics']",at least 3 years
Mechanical Engineer,"i am a software engineer, and i want to work on full time roles associated with machine learning. i have previously worked on some corporate models and due to its intricacies i want to explore more in the domain.",Not provided,0.45,['b.tech'],['computers'],2 to 5 years
Database Administrator (Dba),Not provided,Not provided,0.7833333333333333,['bachelors of arts'],['sociology'],at least 1 year
Data Engineer,Not provided,Not provided,0.5,['bachelor of science'],['business management'],5 to 8 years
